FINV;Returns the inverse of the F probability distribution;FРАСПОБР;Возвращает обратное значение для F-распределения вероятности.;;;;
FISHER;Returns the Fisher transformation;ФИШЕР;Возвращает преобразование Фишера.;FISHER;;;
FISHERINV;Returns the inverse of the Fisher transformation;ФИШЕРОБР;Возвращает обратное преобразование Фишера.;FISHERINV;;;
FIXED;Formats a number as text with a fixed number of decimals;ФИКСИРОВАННЫЙ;Форматирует число и преобразует его в текст с заданным числом десятичных знаков.;FIXED;;;
FLOOR;Rounds a number down, toward zero;ОКРВНИЗ;Округляет число до ближайшего меньшего по модулю значения.;FLOOR;;;
FLOOR.MATH;Rounds a number down, to the nearest integer or to the nearest multiple of significance;ОКРВНИЗ.МАТ;Округляет число в меньшую сторону до ближайшего целого или кратного.;FLOOR.MATH;;;
FLOOR.PRECISE;Rounds a number down to the nearest integer or to the nearest multiple of significance. Regardless of the sign of the number, the number is rounded down.;ОКРВНИЗ.ТОЧН;Округляет число в меньшую сторону (независимо от его знака) до ближайшего целого или кратного.;FLOOR.PRECISE;;;
FORECAST;Returns a value along a linear trend Note: In Excel 2016, this function is replaced with FORECAST.LINEAR as part of the new Forecasting functions, but it's  still available for compatibility with earlier versions.;ПРЕДСКАЗ;Возвращает значение линейного тренда. Примечание. В Excel 2016 эта функция заменена функцией ПРЕДСКАЗ.ЛИНЕЙН из нового набора функций прогнозирования. Однако эта функция по-прежнему доступна в целях обеспечения совместимости с предыдущими версиями.;FORECAST;;;
FORECAST.ETS;Returns a future value based on existing (historical) values by using the AAA version of the Exponential Smoothing (ETS) algorithm Note: This function isn't available in Excel 2016 for Mac.;ПРЕДСКАЗ.ETS;Возвращает будущее значение на основе существующих (ретроспективных) данных с использованием версии AAA алгоритма экспоненциального сглаживания (ETS). Примечание. Эта функция недоступна в Excel 2016 для Mac.;;;;
FORECAST.ETS.CONFINT;Returns a confidence interval for the forecast value at the specified target date Note: This function isn't available in Excel 2016 for Mac.;ПРЕДСКАЗ.ЕTS.ДОВИНТЕРВАЛ;Возвращает доверительный интервал для прогнозной величины на указанную дату. Примечание. Эта функция недоступна в Excel 2016 для Mac.;;;;
FORECAST.ETS.SEASONALITY;Returns the length of the repetitive pattern Excel detects for the specified time series Note: This function isn't available in Excel 2016 for Mac.;ПРЕДСКАЗ.ETS.СЕЗОННОСТЬ;Возвращает длину повторяющегося фрагмента, обнаруженного программой Excel в заданном временном ряду. Примечание. Эта функция недоступна в Excel 2016 для Mac.;;;;
FORECAST.ETS.STAT;Returns a statistical value as a result of time series forecasting Note: This function isn't available in Excel 2016 for Mac.;ПРЕДСКАЗ.ETS.СТАТ;Возвращает статистическое значение, являющееся результатом прогнозирования временного ряда. Примечание. Эта функция недоступна в Excel 2016 для Mac.;;;;
FORECAST.LINEAR;Returns a future value based on existing values Note: This function isn't available in Excel 2016 for Mac.;ПРЕДСКАЗ.ЛИНЕЙН;Возвращает будущее значение на основе существующих значений. Примечание. Эта функция недоступна в Excel 2016 для Mac.;FORECAST.LINEAR;;;
FORMULATEXT;Returns the formula at the given reference as text;Ф.ТЕКСТ;Возвращает формулу в заданной ссылке в виде текста.;;;;
FREQUENCY;Returns a frequency distribution as a vertical array;ЧАСТОТА;Возвращает распределение частот в виде вертикального массива.;FREQUENCY;;;
FTEST;Returns the result of an F-test;ФТЕСТ;Возвращает результат F-теста.;;;;
FV;Returns the future value of an investment;БС;Возвращает будущую стоимость инвестиции.;;;;
FVSCHEDULE;Returns the future value of an initial principal after applying a series of compound interest rates;БЗРАСПИС;Возвращает будущее значение первоначальной основной суммы после применения ряда (плана) ставок сложных процентов.;;;;
GAMMA;Returns the Gamma function value;ГАММА;Возвращает значение функции гамма.;GAMMA;;;
